log_prob_true,time_log_prob,loss,log_prob,val_log_prob_true,val_time_log_prob,val_loss,val_log_prob,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,val_log_prob_p,val_kl_distance,log_px_z,kl_z,elbo,objective,time_forward
,,28.58867835998535,,,,,,69,1399,,,,,,,,,-19.28233528137207,9.306343078613281,-28.58867835998535,-28.58867835998535,13.289644241333008
-13.53038215637207,7.647991180419922,19.108888626098633,-19.108888626098633,-13.530383110046387,8.154557228088379,19.108890533447266,-19.108890533447266,69,1399,,,,,,,,,,,,,
-13.53038215637207,7.587146282196045,18.367794036865234,-18.367794036865234,-13.530383110046387,8.149336814880371,18.367795944213867,-18.367795944213867,70,1419,,,,,,,,,,,,,
-13.53038215637207,7.5958251953125,19.384235382080078,-19.384235382080078,-13.530383110046387,8.269837379455566,19.384233474731445,-19.384233474731445,71,1439,39.26362991333008,0.020710110664367676,-12.292594909667969,-1.1999852657318115,39.26362991333008,0.020710110664367676,-12.292594909667969,-1.1999852657318115,,,,,
,,30.441646575927734,,,,,,72,1449,,,,,,,,,-20.730087280273438,9.71155834197998,-30.441646575927734,-30.441646575927734,8.522299766540527
-13.53038215637207,7.683182239532471,18.564191818237305,-18.564191818237305,-13.530383110046387,8.356053352355957,18.564189910888672,-18.564189910888672,72,1459,,,,,,,,,,,,,
-13.53038215637207,7.438564300537109,18.59136962890625,-18.59136962890625,-13.530383110046387,7.989723205566406,18.59136962890625,-18.59136962890625,73,1479,,,,,,,,,,,,,
,,30.61592674255371,,,,,,74,1499,,,,,,,,,-21.07697868347168,9.538949966430664,-30.61592674255371,-30.61592674255371,13.108638763427734
-13.53038215637207,7.485771656036377,18.331729888916016,-18.331729888916016,-13.530383110046387,8.092570304870605,18.331729888916016,-18.331729888916016,74,1499,,,,,,,,,,,,,
-13.53038215637207,7.869720458984375,18.149700164794922,-18.149700164794922,-13.530383110046387,8.664020538330078,18.149700164794922,-18.149700164794922,75,1519,,,,,,,,,,,,,
-13.53038215637207,7.543182373046875,18.95075035095215,-18.95075035095215,-13.530383110046387,8.160898208618164,18.95075035095215,-18.95075035095215,76,1539,,,,,,,,,,,,,
,,29.69022560119629,,,,,,77,1549,,,,,,,,,-20.358057022094727,9.332168579101562,-29.69022560119629,-29.69022560119629,8.748844146728516
-13.53038215637207,7.503699779510498,18.207073211669922,-18.207073211669922,-13.530383110046387,8.095276832580566,18.207073211669922,-18.207073211669922,77,1559,,,,,,,,,,,,,
-13.53038215637207,7.440853118896484,18.87456512451172,-18.87456512451172,-13.530383110046387,8.038336753845215,18.874563217163086,-18.874563217163086,78,1579,,,,,,,,,,,,,
,,29.167007446289062,,,,,,79,1599,,,,,,,,,-19.966405868530273,9.200603485107422,-29.167007446289062,-29.167007446289062,13.514914512634277
-13.53038215637207,7.453155517578125,18.961341857910156,-18.961341857910156,-13.530383110046387,7.9678120613098145,18.961341857910156,-18.961341857910156,79,1599,,,,,,,,,,,,,
-13.53038215637207,7.833385944366455,20.73188018798828,-20.73188018798828,-13.530383110046387,8.32939624786377,20.731882095336914,-20.731882095336914,80,1619,,,,,,,,,,,,,
-13.53038215637207,7.557392120361328,17.829893112182617,-17.829893112182617,-13.530383110046387,8.135042190551758,17.829893112182617,-17.829893112182617,81,1639,141.25648498535156,0.017087459564208984,-12.383529663085938,-1.109050989151001,141.25648498535156,0.017087459564208984,-12.383529663085938,-1.109050989151001,,,,,
,,29.333526611328125,,,,,,82,1649,,,,,,,,,-20.043121337890625,9.290401458740234,-29.333526611328125,-29.333526611328125,9.507872581481934
-13.53038215637207,7.685757160186768,18.150375366210938,-18.150375366210938,-13.530383110046387,8.327309608459473,18.150375366210938,-18.150375366210938,82,1659,,,,,,,,,,,,,
-13.53038215637207,7.350826263427734,18.231985092163086,-18.231985092163086,-13.530383110046387,7.938063144683838,18.23198699951172,-18.23198699951172,83,1679,,,,,,,,,,,,,
,,28.379104614257812,,,,,,84,1699,,,,,,,,,-18.932788848876953,9.446317672729492,-28.379104614257812,-28.379104614257812,13.068757057189941
-13.53038215637207,11.50255298614502,18.079370498657227,-18.079370498657227,-13.530383110046387,11.535962104797363,18.07937240600586,-18.07937240600586,84,1699,,,,,,,,,,,,,
-13.53038215637207,7.659626007080078,18.199440002441406,-18.199440002441406,-13.530383110046387,8.335311889648438,18.199438095092773,-18.199438095092773,85,1719,,,,,,,,,,,,,
-13.53038215637207,7.6019287109375,18.088945388793945,-18.088945388793945,-13.530383110046387,8.148205757141113,18.088943481445312,-18.088943481445312,86,1739,,,,,,,,,,,,,
,,30.25935935974121,,,,,,87,1749,,,,,,,,,-20.419193267822266,9.840167045593262,-30.25935935974121,-30.25935935974121,8.784001350402832
-13.53038215637207,7.547950744628906,18.401668548583984,-18.401668548583984,-13.530383110046387,8.190216064453125,18.401668548583984,-18.401668548583984,87,1759,,,,,,,,,,,,,
-13.53038215637207,7.534409046173096,18.36941146850586,-18.36941146850586,-13.530383110046387,8.184303283691406,18.36941146850586,-18.36941146850586,88,1779,,,,,,,,,,,,,
,,29.567514419555664,,,,,,89,1799,,,,,,,,,-20.160266876220703,9.407244682312012,-29.567514419555664,-29.567514419555664,13.32908821105957
-13.53038215637207,7.566356182098389,18.02735710144043,-18.02735710144043,-13.530383110046387,8.151569366455078,18.027359008789062,-18.027359008789062,89,1799,,,,,,,,,,,,,
-13.53038215637207,7.553196430206299,18.713363647460938,-18.713363647460938,-13.530383110046387,8.15529727935791,18.713363647460938,-18.713363647460938,90,1819,,,,,,,,,,,,,
-13.53038215637207,7.503509998321533,18.99911880493164,-18.99911880493164,-13.530383110046387,8.075478553771973,18.999122619628906,-18.999122619628906,91,1839,39.3609504699707,0.01880192756652832,-12.362404823303223,-1.130174994468689,39.3609504699707,0.01880192756652832,-12.362404823303223,-1.130174994468689,,,,,
,,31.100791931152344,,,,,,92,1849,,,,,,,,,-21.837806701660156,9.262979507446289,-31.100791931152344,-31.100791931152344,9.00449275970459
-13.53038215637207,7.342529296875,18.751609802246094,-18.751609802246094,-13.530383110046387,7.870418548583984,18.751605987548828,-18.751605987548828,92,1859,,,,,,,,,,,,,
-13.53038215637207,7.380485534667969,19.033706665039062,-19.033706665039062,-13.530383110046387,8.00256633758545,19.033708572387695,-19.033708572387695,93,1879,,,,,,,,,,,,,
,,30.163631439208984,,,,,,94,1899,,,,,,,,,-20.81583023071289,9.34780502319336,-30.163631439208984,-30.163631439208984,13.180953979492188
